Duelist,Grade,Card,Weight
"Villager 2","S/A POW","Blackland Fire Dragon",15
"Villager 2","S/A POW","Right Arm of the Forbidden One",6
"Villager 2","S/A POW","The Wicked Worm Beast",15
"Villager 2","S/A POW","Skull Servant",15
"Villager 2","S/A POW","Horn Imp",15
"Villager 2","S/A POW","Zombie Warrior",30
"Villager 2","S/A POW","Saggi the Dark Clown",15
"Villager 2","S/A POW","The Snake Hair",15
"Villager 2","S/A POW","Dragon Piper",15
"Villager 2","S/A POW","Oscillo Hero #2",15
"Villager 2","S/A POW","Killer Needle",15
"Villager 2","S/A POW","Mammoth Graveyard",15
"Villager 2","S/A POW","Wolf",15
"Villager 2","S/A POW","Silver Fang",15
"Villager 2","S/A POW","Uraby",15
"Villager 2","S/A POW","Armored Zombie",15
"Villager 2","S/A POW","Dragon Zombie",15
"Villager 2","S/A POW","Clown Zombie",15
"Villager 2","S/A POW","Mask of Darkness",10
"Villager 2","S/A POW","Job-Change Mirror",15
"Villager 2","S/A POW","Graveyard and the Hand of Invitation",15
"Villager 2","S/A POW","Goddess with the Third Eye",15
"Villager 2","S/A POW","Hero of the East",15
"Villager 2","S/A POW","Kamion Wizard",15
"Villager 2","S/A POW","Supporter in the Shadows",15
"Villager 2","S/A POW","Trial of Nightmares",15
"Villager 2","S/A POW","Dream Clown",15
"Villager 2","S/A POW","Sleeping Lion",15
"Villager 2","S/A POW","The 13th Grave",30
"Villager 2","S/A POW","Fiend's Hand",15
"Villager 2","S/A POW","Dragon Statue",15
"Villager 2","S/A POW","Blue-eyed Silver Zombie",15
"Villager 2","S/A POW","Toad Master",30
"Villager 2","S/A POW","Spiked Snail",15
"Villager 2","S/A POW","The Melting Red Shadow",15
"Villager 2","S/A POW","Fire Reaper",15
"Villager 2","S/A POW","Tainted Wisdom",15
"Villager 2","S/A POW","Lord of Zemia",15
"Villager 2","S/A POW","Ancient Jar",15
"Villager 2","S/A POW","Dark King of the Abyss",15
"Villager 2","S/A POW","Big Eye",15
"Villager 2","S/A POW","Armaill",15
"Villager 2","S/A POW","Monsturtle",15
"Villager 2","S/A POW","Dark Shade",15
"Villager 2","S/A POW","LALA Li-oon",15
"Villager 2","S/A POW","Arma Knight",30
"Villager 2","S/A POW","Mech Mole Zombie",15
"Villager 2","S/A POW","Penguin Knight",15
"Villager 2","S/A POW","Frenzied Panda",15
"Villager 2","S/A POW","Phantom Ghost",15
"Villager 2","S/A POW","Dorover",15
"Villager 2","S/A POW","Twin Long Rods #1",15
"Villager 2","S/A POW","Kaminarikozou",15
"Villager 2","S/A POW","Flame Ghost",15
"Villager 2","S/A POW","Solitude",15
"Villager 2","S/A POW","Masked Sorcerer",15
"Villager 2","S/A POW","Kumootoko",15
"Villager 2","S/A POW","Fiend Sword",15
"Villager 2","S/A POW","Hitodenchak",15
"Villager 2","S/A POW","Wood Remains",15
"Villager 2","S/A POW","Wood Clown",15
"Villager 2","S/A POW","Dark Titan of Terror",15
"Villager 2","S/A POW","Guardian of the Labyrinth",15
"Villager 2","S/A POW","Haniwa",15
"Villager 2","S/A POW","Yashinoki",10
"Villager 2","S/A POW","Water Element",15
"Villager 2","S/A POW","Dissolverock",15
"Villager 2","S/A POW","One Who Hunts Souls",15
"Villager 2","S/A POW","Master & Expert",15
"Villager 2","S/A POW","Hyo",15
"Villager 2","S/A POW","Enchanting Mermaid",15
"Villager 2","S/A POW","Dimensional Warrior",15
"Villager 2","S/A POW","Stone Armadiller",30
"Villager 2","S/A POW","Beastking of the Swamps",30
"Villager 2","S/A POW","Ancient Sorcerer",15
"Villager 2","S/A POW","The Little Swordsman of Aile",15
"Villager 2","S/A POW","Rock Ogre Grotto #2",30
"Villager 2","S/A POW","The Furious Sea King",15
"Villager 2","S/A POW","Versago the Destroyer",15
"Villager 2","S/A POW","Wetha",15
"Villager 2","S/A POW","Mavelus",15
"Villager 2","S/A POW","Ancient Tree of Enlightenment",15
"Villager 2","S/A POW","Green Phantom King",15
"Villager 2","S/A POW","Ray & Temperature",15
"Villager 2","S/A POW","Protector of the Throne",15
"Villager 2","S/A POW","Change Slime",15
"Villager 2","S/A POW","Moon Envoy",15
"Villager 2","S/A POW","Fireyarou",15
"Villager 2","S/A POW","Psychic Kappa",15
"Villager 2","S/A POW","Masaki the Legendary Swordsman",15
"Villager 2","S/A POW","Dragoness the Wicked Knight",15
"Villager 2","S/A POW","One-eyed Shield Dragon",15
"Villager 2","S/A POW","Yami",24
"Villager 2","S/A POW","Zone Eater",14
"Villager 2","S/A POW","Steel Scorpion",10
"Villager 2","S/A POW","Ooguchi",15
"Villager 2","S/A POW","Yaiba Robo",15
"Villager 2","S/A POW","Shovel Crusher",15
"Villager 2","S/A POW","Waterdragon Fairy",15
"Villager 2","S/A POW","Turu-Purun",15
"Villager 2","S/A POW","Aqua Snake",15
"Villager 2","S/A POW","Kanikabuto",15
"Villager 2","S/A POW","Zarigun",15
"Villager 2","S/A POW","Bolt Penguin",15
"Villager 2","S/A POW","Electric Snake",15
"Villager 2","S/A POW","Ameba",15
"Villager 2","S/A POW","Wilmee",15
"Villager 2","S/A POW","Turtle Raccoon",15
"Villager 2","S/A POW","Brave Scizzar",15
"Villager 2","S/A POW","Muka Muka",15
"Villager 2","S/A POW","Star Boy",15
"Villager 2","S/A POW","Bone Mouse",15
"Villager 2","S/A POW","Frog The Jam",15
"Villager 2","S/A POW","Winged Dragon #2",15
"Villager 2","S/A POW","The Wandering Doomed",15
"Villager 2","S/A POW","Pot the Trick",15
"Villager 2","S/A POW","Darkworld Thorns",14
"Villager 2","S/A POW","Giant Scorpion of the Tundra",14
"Villager 2","S/A POW","Binding Chain",14
"Villager 2","S/A POW","Greenkappa",10
"Villager 2","S/A POW","Morphing Jar",14
"Villager 2","S/A POW","Muse-A",10
"Villager 2","S/A POW","Tenderness",14
"Villager 2","S/A POW","Penguin Soldier",14
"Villager 2","S/A POW","Liquid Beast",14
"Villager 2","S/A POW","Twin Long Rods #2",14
"Villager 2","S/A POW","Shining Friendship",14
"Villager 2","S/A POW","Electric Lizard",2
"Villager 2","S/A POW","Snakeyashi",14
"Villager 2","S/A POW","Armored Rat",14
"Villager 2","S/A POW","Mystical Sheep #1",14
"Villager 2","S/A POW","Disk Magician",14
"Villager 3","S/A POW","Baby Dragon",14
"Villager 3","S/A POW","Shadow Specter",14
"Villager 3","S/A POW","Left Arm of the Forbidden One",6
"Villager 3","S/A POW","The Wicked Worm Beast",14
"Villager 3","S/A POW","Skull Servant",14
"Villager 3","S/A POW","Zombie Warrior",28
"Villager 3","S/A POW","Saggi the Dark Clown",14
"Villager 3","S/A POW","Dragon Piper",14
"Villager 3","S/A POW","Oscillo Hero #2",14
"Villager 3","S/A POW","Torike",14
"Villager 3","S/A POW","Killer Needle",14
"Villager 3","S/A POW","Mammoth Graveyard",14
"Villager 3","S/A POW","Wolf",14
"Villager 3","S/A POW","Silver Fang",14
"Villager 3","S/A POW","Armored Zombie",14
"Villager 3","S/A POW","Dragon Zombie",14
"Villager 3","S/A POW","Clown Zombie",14
"Villager 3","S/A POW","Job-Change Mirror",14
"Villager 3","S/A POW","Graveyard and the Hand of Invitation",14
"Villager 3","S/A POW","Goddess with the Third Eye",14
"Villager 3","S/A POW","Hero of the East",14
"Villager 3","S/A POW","Supporter in the Shadows",14
"Villager 3","S/A POW","Trial of Nightmares",14
"Villager 3","S/A POW","Dream Clown",14
"Villager 3","S/A POW","The 13th Grave",28
"Villager 3","S/A POW","Charubin the Fire Knight",14
"Villager 3","S/A POW","Fiend's Hand",14
"Villager 3","S/A POW","Dragon Statue",14
"Villager 3","S/A POW","Blue-eyed Silver Zombie",14
"Villager 3","S/A POW","Toad Master",26
"Villager 3","S/A POW","Spiked Snail",14
"Villager 3","S/A POW","Flame Manipulator",14
"Villager 3","S/A POW","The Melting Red Shadow",14
"Villager 3","S/A POW","Fire Reaper",14
"Villager 3","S/A POW","Larvas",14
"Villager 3","S/A POW","Tainted Wisdom",14
"Villager 3","S/A POW","Ancient Jar",14
"Villager 3","S/A POW","Dark King of the Abyss",14
"Villager 3","S/A POW","Big Eye",14
"Villager 3","S/A POW","Armaill",13
"Villager 3","S/A POW","Monsturtle",28
"Villager 3","S/A POW","Claw Reacher",13
"Villager 3","S/A POW","Arlownay",13
"Villager 3","S/A POW","Dark Shade",13
"Villager 3","S/A POW","Akakieisu",13
"Villager 3","S/A POW","LALA Li-oon",13
"Villager 3","S/A POW","Arma Knight",28
"Villager 3","S/A POW","Mech Mole Zombie",13
"Villager 3","S/A POW","Penguin Knight",13
"Villager 3","S/A POW","Frenzied Panda",13
"Villager 3","S/A POW","Phantom Ghost",13
"Villager 3","S/A POW","Dorover",13
"Villager 3","S/A POW","Twin Long Rods #1",13
"Villager 3","S/A POW","Kaminarikozou",13
"Villager 3","S/A POW","Flame Ghost",28
"Villager 3","S/A POW","Solitude",13
"Villager 3","S/A POW","Kumootoko",13
"Villager 3","S/A POW","Fiend Sword",13
"Villager 3","S/A POW","Hitodenchak",13
"Villager 3","S/A POW","Wood Remains",28
"Villager 3","S/A POW","Wood Clown",13
"Villager 3","S/A POW","Guardian of the Labyrinth",13
"Villager 3","S/A POW","Haniwa",13
"Villager 3","S/A POW","Water Element",13
"Villager 3","S/A POW","Dissolverock",28
"Villager 3","S/A POW","One Who Hunts Souls",13
"Villager 3","S/A POW","Master & Expert",13
"Villager 3","S/A POW","Hyo",13
"Villager 3","S/A POW","Enchanting Mermaid",13
"Villager 3","S/A POW","Angelwitch",13
"Villager 3","S/A POW","Dimensional Warrior",13
"Villager 3","S/A POW","Stone Armadiller",28
"Villager 3","S/A POW","Beastking of the Swamps",28
"Villager 3","S/A POW","Lunar Queen Elzaim",13
"Villager 3","S/A POW","The Little Swordsman of Aile",13
"Villager 3","S/A POW","Rock Ogre Grotto #2",28
"Villager 3","S/A POW","Wing Egg Elf",13
"Villager 3","S/A POW","The Furious Sea King",13
"Villager 3","S/A POW","Versago the Destroyer",13
"Villager 3","S/A POW","Wetha",28
"Villager 3","S/A POW","Mavelus",13
"Villager 3","S/A POW","Ancient Tree of Enlightenment",13
"Villager 3","S/A POW","Green Phantom King",13
"Villager 3","S/A POW","Ray & Temperature",13
"Villager 3","S/A POW","King Fog",13
"Villager 3","S/A POW","Mystical Sheep #2",13
"Villager 3","S/A POW","Holograh",13
"Villager 3","S/A POW","Change Slime",13
"Villager 3","S/A POW","Moon Envoy",13
"Villager 3","S/A POW","Psychic Kappa",13
"Villager 3","S/A POW","Masaki the Legendary Swordsman",13
"Villager 3","S/A POW","Dragoness the Wicked Knight",13
"Villager 3","S/A POW","Bio Plant",13
"Villager 3","S/A POW","One-eyed Shield Dragon",13
"Villager 3","S/A POW","Wicked Dragon with the Ersatz Head",13
"Villager 3","S/A POW","Yami",36
"Villager 3","S/A POW","Zone Eater",13
"Villager 3","S/A POW","Steel Scorpion",12
"Villager 3","S/A POW","Ooguchi",13
"Villager 3","S/A POW","Shovel Crusher",13
"Villager 3","S/A POW","Waterdragon Fairy",28
"Villager 3","S/A POW","Turu-Purun",13
"Villager 3","S/A POW","Aqua Snake",28
"Villager 3","S/A POW","Kanikabuto",13
"Villager 3","S/A POW","Zarigun",13
"Villager 3","S/A POW","Bolt Penguin",26
"Villager 3","S/A POW","Electric Snake",13
"Villager 3","S/A POW","Insect Soldiers of the Sky",13
"Villager 3","S/A POW","Ameba",13
"Villager 3","S/A POW","Wilmee",13
"Villager 3","S/A POW","Turtle Raccoon",13
"Villager 3","S/A POW","Muka Muka",13
"Villager 3","S/A POW","Star Boy",13
"Villager 3","S/A POW","Bone Mouse",13
"Villager 3","S/A POW","Frog The Jam",13
"Villager 3","S/A POW","Winged Dragon #2",13
"Villager 3","S/A POW","The Wandering Doomed",13
"Villager 3","S/A POW","Pot the Trick",13
"Villager 3","S/A POW","Darkworld Thorns",14
"Villager 3","S/A POW","Anthrosaurus",13
"Villager 3","S/A POW","Little D",13
"Villager 3","S/A POW","Giant Scorpion of the Tundra",14
"Villager 3","S/A POW","Binding Chain",14
"Villager 3","S/A POW","Mechanical Snail",13
"Villager 3","S/A POW","Living Vase",12
"Villager 3","S/A POW","Morphing Jar",13
"Villager 3","S/A POW","Muse-A",12
"Villager 3","S/A POW","Tenderness",13
"Villager 3","S/A POW","Penguin Soldier",13
"Villager 3","S/A POW","Liquid Beast",13
"Villager 3","S/A POW","Twin Long Rods #2",13
"Villager 3","S/A POW","Lady of Faith",13
"Villager 3","S/A POW","Snakeyashi",14
"Villager 3","S/A POW","Armored Rat",14
"Villager 3","S/A POW","Mystical Sheep #1",14
"Villager 3","S/A POW","Magical Labyrinth",18
"Seto 1","S/A POW","Mushroom Man",44
"Seto 1","S/A POW","Right Arm of the Forbidden One",5
"Seto 1","S/A POW","Dragon Piper",21
"Seto 1","S/A POW","Basic Insect",20
"Seto 1","S/A POW","Man-eating Plant",116
"Seto 1","S/A POW","Krokodilus",44
"Seto 1","S/A POW","Clown Zombie",20
"Seto 1","S/A POW","Wings of Wicked Flame",44
"Seto 1","S/A POW","Curtain of the Dark Ones",20
"Seto 1","S/A POW","Kageningen",20
"Seto 1","S/A POW","Yamatano Dragon Scroll",20
"Seto 1","S/A POW","Dark Plant",20
"Seto 1","S/A POW","Weather Control",20
"Seto 1","S/A POW","Charubin the Fire Knight",20
"Seto 1","S/A POW","Mystical Capture Chain",20
"Seto 1","S/A POW","Fiend's Hand",20
"Seto 1","S/A POW","Mystery Hand",20
"Seto 1","S/A POW","The Bewitching Phantom Thief",20
"Seto 1","S/A POW","The Melting Red Shadow",20
"Seto 1","S/A POW","Fire Reaper",20
"Seto 1","S/A POW","Firegrass",44
"Seto 1","S/A POW","Man Eater",44
"Seto 1","S/A POW","Dig Beak",20
"Seto 1","S/A POW","Hurricail",20
"Seto 1","S/A POW","Fire Eye",44
"Seto 1","S/A POW","Phantom Dewan",20
"Seto 1","S/A POW","Arlownay",20
"Seto 1","S/A POW","Masked Clown",20
"Seto 1","S/A POW","Lucky Trinket",20
"Seto 1","S/A POW","Eyearmor",20
"Seto 1","S/A POW","LALA Li-oon",20
"Seto 1","S/A POW","Doron",20
"Seto 1","S/A POW","Happy Lover",20
"Seto 1","S/A POW","Petit Dragon",20
"Seto 1","S/A POW","Air Marmot of Nefariousness",20
"Seto 1","S/A POW","Phantom Ghost",20
"Seto 1","S/A POW","Droll Bird",21
"Seto 1","S/A POW","Winged Cleaver",21
"Seto 1","S/A POW","Hinotama Soul",38
"Seto 1","S/A POW","Kaminarikozou",21
"Seto 1","S/A POW","Meotoko",21
"Seto 1","S/A POW","Kagemusha of the Blue Flame",21
"Seto 1","S/A POW","Midnight Fiend",21
"Seto 1","S/A POW","Hitodenchak",21
"Seto 1","S/A POW","Hourglass of Life",21
"Seto 1","S/A POW","Madjinn Gunn",21
"Seto 1","S/A POW","Haniwa",21
"Seto 1","S/A POW","Candle of Fate",21
"Seto 1","S/A POW","Meda Bat",21
"Seto 1","S/A POW","Embryonic Beast",21
"Seto 1","S/A POW","Wicked Mirror",21
"Seto 1","S/A POW","Sectarian of Secrets",21
"Seto 1","S/A POW","Ancient Tree of Enlightenment",21
"Seto 1","S/A POW","Green Phantom King",21
"Seto 1","S/A POW","Serpent Marauder",21
"Seto 1","S/A POW","Fireyarou",21
"Seto 1","S/A POW","Psychic Kappa",21
"Seto 1","S/A POW","Forest",34
"Seto 1","S/A POW","Sparks",16
"Seto 1","S/A POW","Cyber-Stein",21
"Seto 1","S/A POW","Zarigun",21
"Seto 1","S/A POW","Ganigumo",21
"Seto 1","S/A POW","Boo Koo",21
"Seto 1","S/A POW","Rainbow Flower",21
"Seto 1","S/A POW","Hoshiningen",21
"Seto 1","S/A POW","Man-eater Bug",21
"Seto 1","S/A POW","Gale Dogra",21
"Seto 1","S/A POW","Laughing Flower",44
"Seto 1","S/A POW","Star Boy",21
"Seto 1","S/A POW","Mechaleon",21
"Seto 1","S/A POW","Skelengel",21
"Seto 1","S/A POW","Dharma Cannon",21
"Seto 1","S/A POW","Griggle",21
"Seto 1","S/A POW","Frog The Jam",21
"Seto 1","S/A POW","The Wandering Doomed",21
"Seto 1","S/A POW","Darkworld Thorns",21
"Seto 1","S/A POW","Abyss Flower",44
"Seto 1","S/A POW","Tentacle Plant",44
"Seto 1","S/A POW","Morphing Jar",21
"Seto 1","S/A POW","Little Chimera",21
"Seto 1","S/A POW","Penguin Soldier",21
"Seto 1","S/A POW","Bladefly",21
"Seto 1","S/A POW","Hiro's Shadow Scout",21
"Seto 1","S/A POW","Snakeyashi",21
"Heishin 1","S/A POW","Mystical Elf",22
"Heishin 1","S/A POW","Right Arm of the Forbidden One",6
"Heishin 1","S/A POW","Left Arm of the Forbidden One",4
"Heishin 1","S/A POW","Exodia the Forbidden",4
"Heishin 1","S/A POW","Zombie Warrior",22
"Heishin 1","S/A POW","Saggi the Dark Clown",22
"Heishin 1","S/A POW","Dark Magician",4
"Heishin 1","S/A POW","The Snake Hair",22
"Heishin 1","S/A POW","Gaia the Fierce Knight",28
"Heishin 1","S/A POW","Illusionist Faceless Mage",22
"Heishin 1","S/A POW","Rogue Doll",22
"Heishin 1","S/A POW","Giant Soldier of Stone",22
"Heishin 1","S/A POW","Megazowler",24
"Heishin 1","S/A POW","Gyakutenno Megami",24
"Heishin 1","S/A POW","Armored Zombie",22
"Heishin 1","S/A POW","Dragon Zombie",22
"Heishin 1","S/A POW","Clown Zombie",22
"Heishin 1","S/A POW","Pumpking the King of Ghosts",48
"Heishin 1","S/A POW","Curtain of the Dark Ones",22
"Heishin 1","S/A POW","Spirit of the Winds",22
"Heishin 1","S/A POW","Graveyard and the Hand of Invitation",22
"Heishin 1","S/A POW","White Magical Hat",22
"Heishin 1","S/A POW","Kamion Wizard",22
"Heishin 1","S/A POW","Nemuriko",22
"Heishin 1","S/A POW","The 13th Grave",22
"Heishin 1","S/A POW","Fiend's Hand",22
"Heishin 1","S/A POW","Blue-eyed Silver Zombie",22
"Heishin 1","S/A POW","Flame Manipulator",22
"Heishin 1","S/A POW","Necrolancer the Timelord",22
"Heishin 1","S/A POW","Djinn the Watcher of the Wind",22
"Heishin 1","S/A POW","The Bewitching Phantom Thief",22
"Heishin 1","S/A POW","Fire Reaper",22
"Heishin 1","S/A POW","Hurricail",20
"Heishin 1","S/A POW","Phantom Dewan",20
"Heishin 1","S/A POW","Lucky Trinket",20
"Heishin 1","S/A POW","Genin",20
"Heishin 1","S/A POW","Akakieisu",20
"Heishin 1","S/A POW","Phantom Ghost",20
"Heishin 1","S/A POW","Aqua Madoor",20
"Heishin 1","S/A POW","Flame Ghost",20
"Heishin 1","S/A POW","Masked Sorcerer",20
"Heishin 1","S/A POW","Roaring Ocean Snake",24
"Heishin 1","S/A POW","Wood Remains",22
"Heishin 1","S/A POW","Haniwa",22
"Heishin 1","S/A POW","Dissolverock",22
"Heishin 1","S/A POW","Angelwitch",22
"Heishin 1","S/A POW","Stone Armadiller",22
"Heishin 1","S/A POW","Ancient Sorcerer",22
"Heishin 1","S/A POW","Rock Ogre Grotto #2",22
"Heishin 1","S/A POW","Sectarian of Secrets",22
"Heishin 1","S/A POW","Labyrinth Wall",22
"Heishin 1","S/A POW","Shadow Ghoul",22
"Heishin 1","S/A POW","Labyrinth Tank",4
"Heishin 1","S/A POW","Sanga of the Thunder",4
"Heishin 1","S/A POW","Kazejin",4
"Heishin 1","S/A POW","Suijin",4
"Heishin 1","S/A POW","Bickuribox",4
"Heishin 1","S/A POW","Harpie's Pet Dragon",4
"Heishin 1","S/A POW","Launcher Spider",4
"Heishin 1","S/A POW","Zoa",20
"Heishin 1","S/A POW","Ushi Oni",20
"Heishin 1","S/A POW","Machine King",20
"Heishin 1","S/A POW","Stone D.",48
"Heishin 1","S/A POW","Kaiser Dragon",4
"Heishin 1","S/A POW","Aqua Dragon",4
"Heishin 1","S/A POW","Millennium Golem",46
"Heishin 1","S/A POW","Barrel Rock",48
"Heishin 1","S/A POW","Stone Ghost",48
